days,Position X (m),Position Y (m),Position Z (m)
363,27006972829.558147,-74185188618.9813,-7379525013.80483
364,30114588986.820347,-73321806112.65039,-7688187648.585908
365,33163068606.077827,-72314120012.33891,-7981710942.352055
366,36147176321.41625,-71165793828.03711,-8259702098.280805
367,39061858778.17382,-69880550312.13678,-8521792730.885725
368,41902232320.732285,-68462168498.43164,-8767637275.034485
369,44663571415.92417,-66914481899.294044,-8996911546.58109
370,47341297808.938324,-65241377761.88304,-9209311448.538162
371,49930970406.20962,-63446797297.54554,-9404551817.20567
372,52428275878.77716,-61534736810.631615,-9582365403.252089
373,54829019979.78019,-59509249663.84123,-9742501983.393253
374,57129119570.96733,-57374449027.03537,-9884727599.019125
375,59324595355.19578,-55134511365.258255,-10008823918.869045
376,61411565314.796936,-52793680629.59972,-10114587723.644892
377,63386238859.31694,-50356273121.538506,-10201830511.274664
378,65244911690.46083,-47826683007.59717,-10270378222.394146
379,66983961397.055466,-45209388466.54242,-10320071086.501
380,68599843798.49459,-42508958456.00184,-10350763590.15442
381,70089090061.45102,-39730060089.24108,-10362324569.546024
382,71448304621.66115,-36877466615.9397,-10354637430.755777
383,72674163950.34264,-33956066003.081146,-10327600502.032734
384,73763416213.3434,-30970870113.47237,-10281127523.505926
385,74712881880.49376,-27927024479.842373,-10215148280.837002
386,75519455352.90056,-24829818671.818645,-10129609390.47322
387,76180107687.14459,-21684697251.191036,-10024475245.34506
388,76691890507.57703,-18497271307.55025,-9899729131.072546
389,77051941211.20753,-15273330561.392601,-9755374523.990456
390,77257489584.0728,-12018856014.82069,-9591436583.561947
391,77305865963.48157,-8740033120.689203,-9407963853.004183
392,77194511097.13043,-5443265429.025528,-9205030183.171541
393,76920987867.70317,-2135188654.3014822,-8982736895.895212
394,76482995070.06752,1177314911.9339967,-8741215204.0134
395,75878383447.33833,4487101742.099373,-8480628906.178736
396,75105174211.53534,7786752295.134407,-8201177375.11477
397,74161580293.8184,11068556283.296993,-7903098858.2029
398,73046030587.6226,14324498187.900602,-7586674108.978096
399,71757197464.46832,17546243278.754463,-7252230367.12412
400,70294027855.49367,20725124451.330055,-6900145702.674336
401,68655778200.15117,23852130265.251503,-6530853737.082552
402,66842053564.84454,26917894648.66563,-6144848749.315943
403,64852851225.78674,29912688826.32282,-5742691168.766059
404,62688608988.5874,32826416135.45344,-5325013448.137978
405,60350258477.799644,35648610512.95795,-4892526298.062756
406,57839283567.789505,38368439569.535286,-4446025250.427147
407,55157784035.855865,40974713309.61332,-3986397498.7261095
408,52308544392.67062,43455899707.329796,-3514628940.499273
409,49295107676.22488,45800148503.409256,-3031811318.5197277
410,46121853775.488686,47995324738.1205,-2539149323.3618436
411,42794081570.882484,50029053670.925,-2037967479.9714348
412,39318093833.2036,51888778843.43277,-1529716594.9004161
413,35701283405.62218,53561835099.91774,-1015979489.4380533
414,31952218703.109703,55035538365.13233,-498475688.1525478
415,28080726004.20332,56297293863.91739,20935325.53965807
416,24097965393.543457,57334724218.43281,540252731.9415295
417,20016496563.39564,58135818441.604614,1057335371.9060571
418,15850330035.550869,58689102225.041016,1569905652.9168813
419,11614958775.098389,58983829066.881134,2075556918.303606
420,7327364705.609559,59010190682.1305,2571764823.19816
421,3005994388.7967415,58759543787.064674,3055903211.404917
422,-1329301799.5857382,58224648781.11688,3525264889.0466185
423,-5657372178.799978,57399914132.78855,3977087535.708242
424,-9955912140.06052,56281638523.11267,4408584777.601066
425,-14201661000.387552,54868241169.261955,4816982171.705164
426,-18370647778.505547,53160469439.5251,5199557524.638239
427,-22438483640.335354,51161572099.34219,5553684614.339806
428,-26380695672.970875,48877426511.90813,5876879025.423228
429,-30173093399.174488,46316609030.14562,6166844487.134425
430,-33792156349.910507,43490399751.821594,6421517857.403467
431,-37215428426.482635,40412715740.46951,6639110767.091763
432,-40421903058.81958,37099970576.318794,6818145956.346477
433,-43392382591.17701,33570862390.817455,6957486515.839537
434,-46109796068.50733,29846096945.366295,7056356585.272209
435,-48559461660.5975,25948056378.033134,7114352533.797827
436,-50729283175.06884,21900427520.56415,7131444206.74336
437,-52609874146.914566,17727805834.780846,7107966412.3986635
438,-54194607419.38695,13455291835.347393,7044601380.491691
439,-55479592483.06141,9108096335.211025,6942353395.42392
440,-56463586691.447105,4711169121.331597,6802517152.013647
441,-57147849498.32253,288863024.7669468,6626641578.298992
442,-57535950876.9097,-4135357850.702485,6416490917.963498
443,-57633546041.2129,-8539160361.739533,6174004780.64536
444,-57448128578.45042,-12901532878.94748,5901258680.437649
445,-56988773292.25032,-17202924857.795288,5600426325.926877
446,-56265878671.62341,-21425338403.73413,5273744633.991133
447,-55290917172.51954,-25552376462.15796,4923482144.888132
448,-54076199637.74882,-29569253302.54057,4551911241.609178
449,-52634658357.73412,-33462773455.823177,4161284337.909571
450,-50979651611.25067,-37221285303.91416,3753814005.2528515
451,-49124791096.828735,-40834615221.44377,3331656861.3338366
452,-47083792505.70611,-44293987641.2256,2896900939.5243998
453,-44870348598.3443,-47591935751.86691,2451556194.259892
454,-42498023509.02306,-50722206816.31468,1997547765.3215308
455,-39980166584.471375,-53679665382.19159,1536711617.0656435
456,-37329843824.70496,-56460196978.84087,1070792180.1790187
457,-34559784898.47635,-59060614286.886894,601441647.6003228
458,-31682343716.048508,-61478567236.41977,130220607.96716332
459,-28709470627.0785,-63712458043.18038,-341400264.4886145
460,-25652694445.35183,-65761361825.71792,-812037708.1030303
461,-22523112664.463333,-67624953153.91682,-1280392768.9124508
462,-19331388403.77307,-69303438651.9736,-1745247268.3526006
463,-16087752800.827019,-70797495607.49745,-2205459988.83809
464,-12802011737.183945,-72108216413.65094,-2659962695.647894
465,-9483555944.265533,-73237058584.50902,-3107756090.1227036
466,-6141373681.589169,-74185800027.38708,-3547905769.114986
467,-2784065310.239617,-74956499223.11044,-3979538248.6892886
468,580140800.5374403,-75551459950.45575,-4401837095.951251
469,3943371495.676369,-75973200189.66951,-4814039201.264447
470,7298091561.569132,-76224424848.32503,-5215431213.668706
471,10637086261.019012,-76308001967.8584,-5605346154.731152
472,13953443916.81277,-76226942088.6173,-5983160220.055899
473,17240538733.180443,-75984380473.39963,-6348289772.99365
474,20492014001.572456,-75583561912.92642,-6700188531.503132
475,23701765801.975437,-75027827860.5126,-7038344946.427579
476,26863927282.318523,-74320605666.67714,-7362279767.49544
477,29972853575.417213,-73465399707.09117,-7671543791.99497
478,33023107394.505894,-72465784218.7869,-7965715790.190928
479,36009445333.98143,-71325397679.75375,-8244400601.05153
480,38926804890.88188,-70047938585.83414,-8507227391.656346
481,41770292214.31586,-68637162496.170334,-8753848073.696756
482,44535170584.08438,-67096880234.36406,-8983935870.708426
483,47216849615.719086,-65430957147.03804,-9197184030.049156
484,49810875186.78468,-63643313334.70402,-9393304674.123055
485,52312920078.30524,-61737924781.82194,-9572027785.928434
486,54718775325.3662,-59718825323.76368,-9733100324.653238
487,57024342272.15539,-57590109398.153435,-9876285467.74393
488,59225625328.81022,-55355935536.823364,-10001361976.621847
489,61318725430.341774,-53020530562.466286,-10108123684.007938
490,63299834201.54265,-50588194461.04742,-10196379101.638674
491,65165228836.11275,-48063305907.20167,-10265951148.010366
492,66911267703.23398,-45450328425.226585,-10316676996.675865
493,68534386700.48752,-42753817172.9024,-10348408046.537205
494,70031096378.34874,-39978426339.23179,-10361010016.531864
495,71397979868.5408,-37128917150.27637,-10354363168.100868
496,72631691656.31613,-34210166479.53538,-10328362659.856165
497,73728957245.31291,-31227176060.703392,-10282919039.934427
498,74686573773.05577,-28185082301.06718,-10217958882.635729
499,75501411645.49554,-25089166693.138077,-10133425577.098469
