days,Position X (m),Position Y (m),Position Z (m)
195,-54936853396.39372,-94935581941.01804,1069813348.1331153
196,-52515359063.485,-96073870863.33513,872034561.5191746
197,-50054174170.93721,-97139599712.79044,673596532.756749
198,-47554934110.34103,-98131529921.4389,474646149.7278644
199,-45019306495.609665,-99048430965.30455,275332275.76041085
200,-42448993034.50894,-99889080401.28482,75805876.54686761
201,-39845731480.53338,-100652264003.26927,-123779850.25253013
202,-37211297667.04092,-101336776003.69768,-323269342.76767695
203,-34547507625.51674,-101941419447.47777,-522504540.1055819
204,-31856219789.753,-102465006665.92834,-721324745.061349
205,-29139337287.599133,-102906359879.21408,-919566484.4797258
206,-26398810321.750465,-103264311936.59549,-1117063367.43088
207,-23636638640.79175,-103537707204.73712,-1313645941.4072366
208,-20854874101.388367,-103725402615.29964,-1509141546.7982006
209,-18055623322.109596,-103826268884.09201,-1703374169.9572515
210,-15241050428.863562,-103839191915.18053,-1896164295.2421286
211,-12413379891.307518,-103763074404.54266,-2087328756.4846919
212,-9574899448.854473,-103596837659.1196,-2276680588.433647
213,-6727963124.009089,-103339423648.45879,-2464028878.8119354
214,-3874994319.71215,-102989797307.54872,-2649178621.742573
215,-1018488996.1305795,-102546949110.92787,-2831930573.4235687
216,1838981079.1265497,-102009897939.69376,-3012081111.075878
217,4694765015.084948,-101377694264.63957,-3189422096.349879
218,7546129425.467564,-100649423670.39314,-3363740744.557472
219,10390255012.7178,-99824210747.11154,-3534819501.3005195
220,13224233122.588326,-98901223377.97528,-3702435928.2940083
221,16045062286.91792,-97879677452.40228,-3866362600.436148
222,18849644775.668697,-96758842036.53206,-4026367016.4596734
223,21634783183.225273,-95538045034.07314,-4182211525.810973
224,24397177078.415306,-94216679372.01143,-4333653274.748301
225,27133419752.748604,-92794209746.88124,-4480444175.028867
226,29839995107.040997,-91270179968.22821,-4622330898.968566
227,32513274722.94039,-89644220936.45374,-4759054905.108234
228,35149515172.95381,-87916059292.31372,-4890352499.206933
229,37744855630.4282,-86085526774.8217,-5015954935.805005
230,40295315849.598305,-84152570323.02687,-5135588566.155632
231,42796794595.30305,-82117262954.9237,-5248975038.90971
232,45245068612.29008,-79979815453.40007,-5355831560.549546
233,47635792235.15499,-77740588884.41284,-5455871223.194095
234,49964497751.842995,-75400107966.2342,-5548803408.031107
