,Position X (m),Position Y (m),Position Z (m)
146,-89490434558.6263,73706677295.00398,8289064057.215534
147,-103937448569.32712,53312924450.486435,8700159480.142233
148,-112106719592.51695,29739005034.639175,8591975651.970026
149,-113385191010.9975,4355555303.7103195,7961415256.738804
150,-107229316194.56042,-21316016900.613842,6814403496.698909
151,-93198973334.80734,-45451678771.293365,5172507499.376932
152,-71099230811.12859,-65725690257.3029,3088267094.171563
153,-41341195064.90487,-79085831892.1055,676231937.5998807
154,-5726930697.200935,-81678335730.38864,-1831247073.6256075
155,31215461696.978302,-69573201661.16788,-4013279575.9592743
156,61385508288.65351,-41538443568.27599,-5281140819.354866
157,76267045240.50133,-2882179929.9627457,-5202907875.911203
158,73481597242.59607,36443760183.085846,-3897809978.6074753
159,57107724516.48126,68859330139.33481,-1859375995.2336674
160,32790327520.47853,91389465659.33829,442192612.9658761
161,5054629338.546852,103848298665.99466,2692240242.3509684
162,-22970121343.37987,107142291677.7451,4702490537.407327
163,-49154587183.52313,102473665401.22218,6361407771.6674
164,-71985150155.1623,91061205589.30484,7600022473.131355
165,-90301694159.31659,74079941912.95667,8372295143.583483
166,-103132680346.1912,52688980056.236206,8644628501.36903
167,-109594959705.4611,28102691035.160915,8391033763.466188
168,-108841865595.66222,1698398791.1126595,7592631525.890578
169,-100065381398.99261,-24827536204.990337,6242220421.3797655
170,-82594472715.42131,-49234822576.23392,4357369395.293669
171,-56203535580.76477,-68443821107.07538,2009872991.628821
172,-21868760361.42665,-78300418760.62749,-615876680.4804654
173,16771070850.321754,-74017251532.08437,-3135511190.0038424
174,52021801527.65633,-52733040140.74716,-4941943833.683247
175,74466579833.21452,-17925863531.499245,-5489842327.430773
176,79771835955.77548,21140802556.710472,-4745268602.184716
177,70390559369.45268,56227396837.84977,-3109286104.1457148
178,51229136904.49578,83276554902.23158,-1032256550.4506614
179,26665729268.212414,101179905595.64182,1155087492.279422
180,-60109844.74979019,110179396791.62675,3238103974.7155514
181,-26622827061.573624,111010340840.59462,5078616047.570608
182,-51293340866.43677,104550844596.5996,6583273358.4297285
183,-72695775782.10265,91709366305.5984,7683734888.376251
184,-89640915637.3874,73418166323.87909,8325096364.923338
185,-101013811983.72174,50682457173.21234,8459597888.384355
186,-105700969285.08696,24675330407.241096,8044333982.212019
187,-102560467571.31198,-3108546963.8519974,7043563811.218413
188,-90472282031.71466,-30611634582.515507,5438985386.602996
189,-68580635050.93324,-54859398065.58063,3256334185.114235
190,-36989360129.47864,-71573396564.1022,623884442.2542481
191,1711490567.540474,-75306711224.01385,-2127012140.0210857
192,40558072521.80491,-61680286153.475784,-4396210580.764612
193,69619869028.59073,-32193112680.779453,-5547212895.882278
194,82787235978.95465,4961264031.935627,-5394360074.384212
195,80790590887.43597,41227191878.90497,-4229906337.399481
196,67595595305.06761,71639662939.65424,-2465605932.325903
197,47248993735.91443,94218997407.05106,-434205140.3167403
198,22962188373.49412,108535217037.16351,1632553720.8595583
199,-2843430314.191822,114826949193.23611,3575877871.5336394
200,-28298390153.93826,113594803754.65501,5282129259.220877
201,-51870937993.125374,105441936246.0824,6663664278.624096
202,-72205900914.08702,91033589186.61122,7646670887.0919285
203,-88004852609.38176,71122189907.27553,8163686221.046861
204,-97935431137.97778,46625484501.330124,8149609359.161817
205,-100570527773.22177,18771279648.771183,7541643617.7651415
206,-94388117747.04747,-10655085901.212727,6286293934.914943
207,-77936609218.18541,-38912631797.120155,4361947032.763472
208,-50439051852.62346,-61781229337.63173,1835008012.4725308
209,-13321685740.015175,-73382688266.52303,-1030525748.215303
210,27477913992.807343,-67997969467.32536,-3666725101.527975
211,61927803017.01097,-45079592794.8831,-5372200821.561794
212,82395650793.15463,-11411296316.32388,-5817262675.182571
213,87862916287.17697,24492162985.78963,-5173429354.940237
214,81191618070.83183,56969925251.58926,-3796701792.5307484
215,65927249166.10549,83258471506.01729,-2007755117.7326875
216,45116477124.03569,102276894373.81158,-45525242.41919541
217,21172170199.348022,113758675233.65128,1917484052.5517514
218,-3976841433.7103806,117806479352.24419,3752296930.71305
219,-28709580583.74463,114692649900.26398,5355794984.537628
220,-51563944283.897224,104786739525.51782,6638478970.8705635
221,-71114459920.09825,88555545562.54512,7516110913.9118805
222,-85867497407.51764,66621099287.492935,7904191432.07366
223,-94171908460.78279,39890236312.78323,7715519561.682374
224,-94167933856.53587,9797713168.90623,6863585300.803233
225,-83867729252.96371,-21268260015.226364,5280127805.492217
226,-61641810110.065704,-49326636793.08339,2966503159.2590833
227,-27685559112.483128,-68314250467.734184,107806559.44969082
228,13342649832.561611,-71404673394.58281,-2784118070.9791374
229,51723587257.95886,-56021872613.90941,-4971812138.097326
230,78617948141.38927,-27261841938.73401,-5995283239.556127
231,91306917467.69336,6754300100.385571,-5898675800.441095
232,91434491216.34514,39910623259.80736,-4967619391.660327
233,81897255108.09312,68780913915.29626,-3497196763.805278
234,65447451790.336555,91682706108.42355,-1723230281.1150765
