,Position X (m),Position Y (m),Position Z (m)
107,-18389209450.01146,-74057274805.64632,-2057375398.1856852
108,20512620095.765686,-56536388107.03546,-5532949878.904468
109,50351459923.88084,-13055247532.70314,-6465292298.05912
110,44342433654.59845,39734763827.37927,-2724974419.3381567
111,17446119942.175816,73332015276.02306,2317781089.6081533
112,-13276918047.490772,89928479260.03714,6821221114.807665
113,-42163541154.47751,94858431870.65839,10439743267.238014
114,-67348231375.154396,91621788738.95123,13160029100.628399
115,-88102828769.41226,82428711805.1697,15025561972.236889
116,-104043881615.93579,68769973199.47183,16078093986.712809
117,-114861509230.22217,51746732190.38128,16345398086.825186
118,-120203748385.26569,32268696427.717216,15839361374.08419
119,-119606481012.64838,11199994104.372547,14556316893.782455
120,-112429130762.66754,-10490135284.050941,12478316421.589798
121,-97780435912.10583,-31502174026.842842,9577555300.824816
122,-74450293640.74043,-49763975748.54511,5834032968.803911
123,-41027673096.81408,-61401075178.88317,1308575900.8804998
124,2570008939.114006,-58250341512.299034,-3537253596.31835
125,45431898602.34824,-25879553047.184456,-6611947192.485637
126,56395350468.007,24990107915.160965,-4939393887.95059
127,43123967617.53251,64818788910.32046,-1108353108.5639482
128,20871234822.348957,90736302392.19414,2955948827.5547614
129,-3803565210.6955414,105472926376.62999,6654416148.908165
130,-28061989503.49365,111408979064.307,9796980978.511538
131,-50450000311.77114,110215970969.72003,12312371367.05007
132,-70051017880.8316,103070240000.5174,14162738906.884756
133,-86140146937.30531,90839587792.85117,15314542024.323545
134,-98009245723.21121,74215300558.09871,15725985318.987974
135,-104844335440.75375,53820321795.73888,15339120488.314245
136,-105599193863.025,30333446316.3138,14072431672.362513
137,-98822337774.03062,4698961726.856327,11812975035.316502
138,-82398463937.67888,-21402578632.68091,8413720350.383894
139,-53284317256.45328,-44283408467.670044,3736427392.943618
140,-8607963724.658989,-54596095422.83669,-2010764482.876832
141,41897105519.35379,-33156631430.728218,-6597934013.151731
142,64910389831.362686,10702431418.722733,-6719921628.607648
143,64737943568.22489,50604520564.74574,-4395638660.418835
144,52859369945.5785,81123916232.21594,-1262449497.6506085
145,35247585814.54428,102580638350.7699,2009094149.2727604
146,14987557750.794891,115983239027.4878,5121308752.731808
147,-6107645882.901703,122197789581.6356,7914993866.290836
148,-26794644550.254635,121864625074.95837,10283635187.181557
149,-46065414279.56926,115434417224.41838,12136946168.9748
150,-62950743470.485435,103216859073.94012,13381015888.758577
151,-76359520670.94885,85432996086.14215,13902779095.023628
152,-84886968966.39938,62293801044.41342,13552417673.53556
153,-86511845806.97502,34176858525.014965,12118626590.898685
154,-78052552982.79276,2140773868.3696556,9295573299.358475
155,-54316509792.10061,-30319700538.822372,4686094307.44504
156,-9214180810.179565,-51234228523.55945,-1721237442.470065
157,43421368090.86942,-36778380447.04634,-6955913817.658448
158,72515375929.22232,-1599853962.447609,-8279261852.915494
159,82243764646.70596,34000386390.133064,-7337932915.993005
160,80141275794.4773,64599157390.81411,-5321229415.764462
161,70657463562.02826,89111556855.93994,-2805784667.527531
162,56401011854.99028,107447626957.6475,-97699971.36258888
163,39053992825.323204,119701115806.9367,2614453227.0173326
164,19834806174.565876,125935966514.84734,5193855718.922415
165,-248836688.13093567,126122544193.80823,7522567099.9526825
166,-20229201420.26045,120112541610.05101,9480383118.806349
167,-39017372020.17369,107623766852.11116,10925367387.22476
168,-55183120495.26626,88236638152.22754,11668259917.156847
169,-66559639660.1501,61449451401.38661,11430091290.626923
170,-69414154941.70653,27019383601.930786,9766281212.151531
171,-56722320441.8929,-13289698900.511726,5968871477.982458
172,-17729916962.004402,-47625071326.815994,-515813537.8540697
173,35497492419.81208,-47539236249.20721,-6648199984.591507
174,72200602425.80714,-23971365307.646404,-9514432350.260046
175,92266966999.86757,5294650886.553944,-10131778510.968313
176,100438408456.801,33872248161.890144,-9417086090.675728
177,100048420689.31276,59509084434.95145,-7885251776.84374
178,93246822738.43488,81257016153.61102,-5839072217.49192
179,81491171807.38596,98593595985.36914,-3476835320.7871165
180,65851881341.55347,111111382717.87593,-945654202.0985565
181,47199617054.76152,118380903055.86037,1628918115.4130526
182,26344054002.217155,119866690082.07916,4122327944.604113
183,4175838671.032276,114850467943.98792,6390203996.136406
184,-18121977757.548122,102338060969.3653,8238478970.387424
185,-38654034909.77388,80952264189.60316,9368718096.680866
186,-53812946351.85837,48949051104.482635,9263740604.966022
187,-55739445819.43276,5432933467.292015,6965103637.198202
188,-29179993792.82768,-40662730256.62481,1231171387.1683683
189,20112236622.560658,-57247422034.04529,-5414386823.900615
190,61386489994.69713,-47961298636.97701,-9635565716.791662
191,89741961218.62964,-28138145180.979176,-11755860350.464798
192,107193862340.1815,-4776973152.138187,-12413399998.40878
193,115838695689.02545,19004950590.92773,-12030694425.325697
194,117205698001.31593,41583291218.61986,-10878286850.167946
195,112380420795.73555,61932359357.01723,-9140843457.745827
196,102156759948.14705,79253859911.40341,-6956207632.940329
197,87151169115.21744,92787919915.45006,-4439526537.13274
198,67896860016.23074,101681582938.86214,-1701742902.7735376
199,44950850784.55653,104854698257.64981,1130257759.1602411
200,19075078643.34916,100814710000.81624,3882041403.38448
201,-8351649114.596458,87365932069.4934,6267302254.770862
202,-34192016231.366787,61229119842.21185,7734122077.008427
203,-50082825924.00266,18603621804.475555,7097608888.86693
204,-36532791625.737885,-34228369679.2239,2473766838.819872
205,4162379968.064621,-63057934933.73595,-3889782602.3202524
206,44256435097.114784,-67403578505.04262,-8764855651.607332
207,76297540143.72107,-58636994228.18104,-11951068940.962101
208,99859428361.18608,-43074447083.51677,-13765339974.012407
209,115634405366.80325,-24028372725.530197,-14479490527.47706
210,124321206040.10568,-3448155066.7105255,-14287068962.471592
211,126451179666.87666,17341144779.475945,-13326102192.893763
212,122388170028.48036,37284551176.38633,-11699581068.251953
213,112357640872.25305,55390961622.27568,-9490787289.469725
214,96482279405.82237,70568527849.64168,-6777279402.735806
215,74838003974.327,81431713418.1918,-3648541773.047995
216,47588790733.42502,85998565624.08658,-238662109.2852211
217,15400634920.823597,81136294342.3337,3193614626.7984796
218,-19078299642.241055,61592989398.282196,6037862920.10228
219,-45701322065.73143,20164536763.095367,6705299553.8784275
220,-39622780315.80814,-34474855961.11454,2833203619.496246
221,-8427666747.825573,-68407635323.47121,-2734358274.2911897
222,26045745816.779644,-82363046766.61443,-7520372586.227079
223,56967674329.095856,-83585006772.50473,-11157462867.75394
224,82635414627.11047,-76621714584.44987,-13713237061.541014
225,102651593092.43683,-64180833307.29746,-15299041932.595768
226,116930564295.43561,-48010046819.47472,-16006456580.949005
227,125414815586.65582,-29365074933.799023,-15901745677.166273
228,127979156925.12778,-9268239640.999496,-15029817130.571196
229,124386718921.71948,11318342959.42249,-13419200304.379374
230,114257333981.64636,31332225841.957302,-11087718126.65097
231,97041717294.51855,49394263253.03908,-8052069448.820474
232,72033629799.71574,63419818574.673706,-4351802928.208825
233,38605519508.996124,69789839462.43411,-124624526.5650177
234,-2344150239.1248016,61533359029.25303,4121114416.103888
235,-40928042407.79145,26940251061.683678,6564943765.172295
236,-47842482852.230225,-26462321394.18583,4263286743.9135013
237,-28811438745.53933,-66000101822.96835,-226615523.7918706
238,-1975669968.6546097,-89233143048.03745,-4670333961.822666
239,25554105874.75034,-100346841463.75024,-8490532763.699831
240,51111109871.369606,-102532758355.69603,-11564844954.11069
241,73505840835.10434,-97893572181.29257,-13878111634.175982
242,92062768460.62764,-87861466455.28207,-15435540176.804914
243,106268379573.70844,-73482031800.72711,-16238581142.665672
244,115612905602.68347,-55592883131.941376,-16277034619.311512
245,119492482463.17268,-34955255043.74664,-15525396810.149536
246,117118986041.83545,-12387112302.989674,-13940194302.695301
247,107408049531.5672,11039954608.08265,-11458565079.874687
248,88831302718.78505,33607774238.701824,-8004067713.49399
249,59317492373.064545,51999966036.78508,-3530456485.458127
250,17066213333.24376,58780239204.84762,1738005122.2064714
251,-31660710608.859047,38236173020.11664,6166355603.794087
252,-54946854380.59021,-9324579183.830223,6090792392.563932
253,-50876789151.045265,-52029963288.94354,3141601496.372118
254,-34541426971.87576,-82745165539.83336,-526013782.5118818
255,-13372720787.768715,-102793521286.09644,-4131615332.478844
256,9224219052.825878,-114022625690.55211,-7389726082.049844
257,31450471191.35014,-117843271119.00098,-10174777587.555704
258,52172451664.0193,-115266563459.93106,-12414735438.721016
259,70525336843.68477,-107025056175.69371,-14052388639.456665
260,85711034379.12903,-93671396705.94098,-15027774638.897734
261,96859964619.72559,-75659808225.95154,-15266968197.904264
262,102893074092.08424,-53435962503.62105,-14671384517.08952
263,102332068553.5019,-27585708218.366905,-13104528067.175726
264,92990515147.92552,824796131.2935371,-10376117199.376259
265,71490432295.09705,29290230691.16201,-6242016656.888155
266,33187586213.507202,50814918063.90636,-572848726.5851002
267,-20372074685.20954,46777934800.35731,5371463942.757931
268,-56737228129.487114,10140513985.234306,7438752873.9048395
269,-67339094770.50458,-30270929970.297585,6314968742.914162
270,-63086083399.3611,-64073482206.46243,3861504351.2278886
271,-50745346019.355934,-89951661682.28142,935372676.2405581
272,-33911542406.625374,-108292530607.86313,-2071255264.9462743
273,-14685652482.156662,-119657753841.37578,-4948647663.6004925
274,5531512387.265636,-124498890352.84323,-7561442475.188912
275,25659095927.497112,-123119876942.17334,-9802609759.408127
276,44720963633.563324,-115688206152.88167,-11569272716.962622
277,61683417294.225464,-102255817479.48276,-12745200787.794325
278,75277247152.583,-82792418823.04965,-13182220264.641891
279,83727468057.73474,-57267911352.56135,-12673833350.14738
280,84253999229.14246,-25919891454.146606,-10913166813.203732
281,72103400176.7775,9749072016.437538,-7439210963.139839
282,39503354833.504845,42953951853.29977,-1749586788.0561085
283,-14720619105.56697,51057135731.72263,4976172669.705481
284,-56657389295.48509,26386164876.2721,8380783888.534458
285,-77667898919.08984,-6866320130.460583,8873078738.54507
286,-84256830675.52003,-38622860200.00246,7788754070.819569
287,-81329400010.51527,-66035214611.91191,5859071150.267355
288,-71872594237.90468,-88263190584.71828,3477381101.1590095
289,-57800221027.59732,-105014429365.5237,881422477.8249731
290,-40459306774.593216,-116115402961.22208,-1763346137.4192634
291,-20912883930.218906,-121362523282.06041,-4322478175.049416
292,-123618962.50469208,-120454023307.46135,-6667400939.276345
293,20885564329.87865,-112942591723.91408,-8654136548.216534
294,40826026174.87735,-98191399968.54741,-10097048250.906116
295,57783027364.14824,-75350145768.83923,-10725879212.927519
296,68446207481.84414,-43487443170.652084,-10104680191.66691
297,66345389027.67014,-2658953244.2115784,-7490361019.446386
298,39457661589.2079,39944161728.18845,-1913839026.4354143
299,-12298812673.220078,55798258568.27799,4977371306.585675
300,-55126593771.46951,42141813409.03188,9124372548.226933
301,-82342884904.10002,17855906072.570545,10853122628.165056
302,-97214260785.01724,-8713320223.67812,11025243383.648264
303,-102741679493.16364,-34303689141.57483,10176389135.67579
304,-100977518270.98254,-57421541960.912254,8630066131.1845
305,-93330221889.03937,-77215501814.57417,6598196000.996599
306,-80820490210.12587,-93057966792.54395,4234976934.711896
307,-64249974874.658,-104356180516.48065,1667317464.7406158
308,-44325882369.487114,-110437199052.69211,-984107937.371727
309,-21784993723.991344,-110444317008.31215,-3584535921.172061
310,2424716698.347843,-103208378560.72377,-5956688522.8442
311,26779418889.213203,-87067686705.73375,-7828247807.952091
312,48279133468.9956,-59683083463.83162,-8717264305.742996
313,59967400148.991714,-18564215155.142532,-7676622051.087981
314,46027835945.600395,32043398328.693527,-3128531657.70798
315,1786967585.045929,60980127273.312294,3655845662.4111977
316,-41295829878.45572,61526406249.38288,8657246777.863888
317,-73817075373.80957,48286993774.9234,11639256345.340115
318,-96201442025.1978,29054989959.526802,13103632060.847343
319,-109930257033.10667,7506882636.52116,13435053179.988195
320,-116230629284.31741,-14386305112.628777,12889593429.467913
321,-116000020620.12288,-35379021683.64914,11643143421.79613
322,-109884290598.75482,-54530424405.25876,9824867790.140598
323,-98355321120.85416,-70988309057.58405,7538714330.6872425
324,-81778071317.90576,-83841657903.30739,4879716325.292677
325,-60485388335.636055,-91974388456.62482,1951119699.910832
326,-34904533332.631134,-93863571090.38109,-1109297937.2306142
327,-5857331585.867718,-87243514135.56787,-4075087608.221769
328,24558298514.90317,-68541682281.24785,-6496672692.701639
329,50022634830.53628,-32510172516.120605,-7340166849.69857
330,52223999265.37715,21278389852.669983,-4468607134.295507
331,20017621611.168552,61511314275.529335,1583943418.2369757
332,-18990893803.42654,76135285789.78333,6932958783.795023
333,-53053366162.496895,75129648828.83641,10803241465.535973
334,-80094626493.85538,65233433197.5253,13347019646.590956
335,-100117581240.75958,50121138987.05318,14778136296.365986
336,-113464350608.67574,31965245475.74516,15262288135.797283
337,-120442186616.45241,12217242071.11921,14919273565.334267
338,-121245030626.94327,-8010037017.86269,13836139099.564991
339,-115942177813.92172,-27724100233.482925,12078559879.77862
340,-104482370919.06734,-45888133780.60658,9700885350.161934
341,-86708443232.84996,-61240817269.47464,6758300818.330705
342,-62410263249.47992,-72021276149.42982,3328919080.771929
343,-31533824493.17863,-75452237259.43874,-432065028.88475275
344,4951740454.176975,-66695447307.074875,-4131661045.960988
345,41277695111.79324,-37432925956.11334,-6621041349.681795
346,55478349850.4325,15903814734.552895,-5159246720.149167
347,35647427307.01997,60433109775.87804,-284108630.6449528
348,4865233521.50079,84712065099.79597,4677183786.256019
349,-25993818498.160812,94313943482.8271,8794283880.498388
350,-53536210748.88899,93936946235.78452,11948842737.963789
351,-76604308757.20975,86524252931.71655,14178397453.645288
352,-94707308585.93922,73981676567.12357,15537105066.738083
353,-107534497275.25537,57651794146.54242,16067157916.88761
354,-114775871179.38365,38586819369.22505,15793952436.76315
355,-116034989890.62674,17727939527.001434,14726464525.288177
356,-110765467210.9563,-3937177399.3636703,12859083778.009247
357,-98206528950.07338,-25172110761.236744,10175928398.763245
358,-77323107860.35504,-44132886668.59007,6664790986.127859
359,-46860027460.16783,-57586476923.27205,2368813088.8853245
360,-6223487530.488571,-59054009311.99129,-2403919944.3605833
361,38674009881.48997,-35886643792.5239,-6236258620.803993
362,59614504919.17815,14508919011.272743,-5722778552.705468
363,50404382280.23734,58589705654.75094,-2098735657.3466778
364,29067917435.11294,87977682288.65523,2069967990.9322944
365,4216858242.279995,105201391970.13998,5937007498.416052
366,-20606191665.903202,112978160773.90031,9251706051.685835
367,-43709815964.113625,113232494834.56631,11930819614.052586
368,-64105197749.97781,107300873496.35002,13937966396.739101
369,-81064605068.12389,96151356967.42966,15245471468.727228
370,-93916540475.36432,80536088075.03268,15819605148.073591
371,-101918588540.63614,61106393638.045654,15612607061.514812
372,-104141479851.67967,38528809806.41025,14556055614.887234
373,-99322050934.68108,13657812844.01778,12553943168.779572
374,-85646587293.41997,-12109216974.655254,9478330391.556868
375,-60478208355.88225,-35930131770.306015,5190348417.865788
376,-20661738971.023308,-50941917642.675095,-274904423.87164974
377,30891483043.670807,-40761188044.53715,-5629215619.431602
378,63398930933.60416,1232155822.4821777,-6937563946.86015
379,67889569027.176025,44176963182.79926,-4959413533.25053
380,57825856786.37738,77713576068.24008,-1849647242.0319047
381,40882034227.660736,101631325431.24695,1494414796.2741003
382,20815381688.137825,117089502215.79286,4706838647.005775
383,-308582065.0979996,125138069750.16782,7610446161.263467
384,-21166742902.22009,126561711774.85025,10098259102.080357
385,-40757940331.241585,121921340646.86563,12087421416.28378
386,-58181836941.269035,111612803417.05936,13497108991.614288
387,-72484901748.45819,95921597174.3465,14233947672.75975
388,-82504720883.64175,75086880566.71053,14177778754.34519
389,-86650557998.91727,49416282631.72443,13163025051.504665
390,-82527110445.51208,19575190643.130898,10952115238.819584
391,-66268684444.58824,-12516902886.833752,7210797598.997784
392,-31948017037.445816,-40544518770.62576,1622591597.8946095
393,21720436722.888206,-45285417913.476974,-4843217984.126462
394,63237724953.08764,-15427339604.151142,-7896157761.305496
395,80485167808.94334,22253770398.31319,-7695227210.509136
396,82204108510.40959,56094328332.619965,-5926648296.811203
397,74638200402.61357,83641890643.95943,-3453076327.4117637
398,61319655903.79063,104607380408.44211,-698687137.1674562
399,44389841099.74105,119136113432.83054,2097990959.6773143
400,25302250939.119946,127394270172.52238,4778957080.522215
401,5180602154.744194,129462550744.13234,7219270006.528071
402,-14969004280.77895,125306248439.30792,9300862713.937195
403,-34091259444.30687,114764798913.83124,10892700566.01513
404,-50890677008.97211,97552242188.92986,11828772297.155651
405,-63527766247.665565,73295411355.96252,11875261059.318943
406,-69025989303.84111,41739991445.83436,10674129766.929235
407,-62030064748.63088,3720466969.0349503,7656318806.126886
